angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"[232, 81, 103, 128]",0.0,0.05,0.05,0.83,0.06,0.0
0.01,"[232, 81, 103, 128]",0.0,0.05,0.04,0.84,0.06,0.0
0.01,"[232, 82, 101, 126]",0.0,0.06,0.05,0.8,0.08,0.0
0.01,"[232, 82, 102, 126]",0.0,0.07,0.04,0.79,0.09,0.0
0.01,"[231, 81, 103, 127]",0.0,0.09,0.05,0.75,0.09,0.0
0.0,"[232, 82, 102, 127]",0.0,0.02,0.03,0.91,0.04,0.0
0.01,"[231, 83, 101, 125]",0.0,0.06,0.04,0.84,0.06,0.0
0.01,"[232, 83, 101, 124]",0.0,0.02,0.18,0.73,0.05,0.0
0.04,"[235, 88, 98, 121]",0.0,0.11,0.43,0.15,0.26,0.01
0.11,"[236, 87, 97, 125]",0.0,0.09,0.17,0.08,0.54,0.01
0.12,"[233, 85, 99, 130]",0.0,0.08,0.54,0.04,0.2,0.01
0.07,"[235, 85, 100, 129]",0.0,0.05,0.8,0.01,0.06,0.01
0.07,"[230, 87, 97, 125]",0.0,0.09,0.65,0.01,0.1,0.07
0.06,"[231, 86, 97, 126]",0.0,0.07,0.77,0.01,0.05,0.03
0.08,"[233, 81, 104, 135]",0.0,0.03,0.82,0.01,0.03,0.02
0.02,"[233, 81, 105, 136]",0.0,0.01,0.94,0.0,0.01,0.01
0.01,"[234, 82, 103, 134]",0.0,0.01,0.97,0.0,0.0,0.0
0.0,"[238, 86, 100, 127]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[239, 85, 100, 124]",0.0,0.0,1.0,0.0,0.0,0.0
0.2,"[246, 119, 37, 41]",0.0,0.17,0.09,0.12,0.33,0.08
0.0,"[232, 86, 100, 126]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[231, 86, 102, 130]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[231, 87, 103, 129]",0.0,0.0,1.0,0.0,0.0,0.0
0.02,"[233, 85, 100, 130]",0.0,0.0,0.95,0.0,0.0,0.02
0.08,"[233, 85, 100, 129]",0.0,0.02,0.88,0.0,0.0,0.03
0.11,"[233, 90, 98, 127]",0.0,0.04,0.72,0.0,0.0,0.11
0.04,"[235, 86, 100, 127]",0.0,0.19,0.12,0.45,0.05,0.15
0.03,"[231, 91, 96, 119]",0.0,0.18,0.11,0.38,0.06,0.25
