time,emotion,score
1730447245.9840043,neutral,0.94
1730447245.9840043,sad,0.42
1730447246.1028135,neutral,0.96
1730447246.1028135,sad,0.47
1730447246.1851504,neutral,0.94
1730447246.1851504,sad,0.45
1730447246.2737489,neutral,0.96
1730447246.2737489,sad,0.45
1730447246.3614388,neutral,0.83
1730447246.3614388,sad,0.44
1730447246.443118,neutral,0.83
1730447246.443118,sad,0.44
1730447246.5192914,neutral,0.87
1730447246.5192914,sad,0.44
1730447246.6004422,neutral,0.93
1730447246.6004422,sad,0.42
1730447246.6795838,neutral,0.9
1730447246.6795838,sad,0.4
1730447246.7607687,neutral,0.9
1730447246.7607687,sad,0.4
1730447246.8505855,surprise,0.66
1730447246.8505855,sad,0.4
1730447246.941089,neutral,0.45
1730447246.941089,sad,0.46
1730447247.015189,neutral,0.71
1730447247.015189,sad,0.4
1730447247.0978532,neutral,0.94
1730447247.0978532,sad,0.48
1730447247.1894834,neutral,0.93
1730447247.1894834,sad,0.33
1730447247.2790422,neutral,0.93
1730447247.2790422,sad,0.5
1730447247.3581307,neutral,0.89
1730447247.3581307,sad,0.45
1730447247.4344628,neutral,0.89
1730447247.435456,sad,0.45
1730447247.512142,neutral,0.88
1730447247.512142,sad,0.45
1730447247.5938892,neutral,0.84
1730447247.5948904,sad,0.48
1730447247.671166,neutral,0.85
1730447247.671166,sad,0.48
1730447247.7484765,neutral,0.85
1730447247.7484765,sad,0.48
1730447247.8263855,neutral,0.94
1730447247.8263855,sad,0.4
1730447247.904687,neutral,0.95
1730447247.904687,sad,0.41
1730447247.9824626,neutral,0.89
1730447247.9824626,sad,0.36
1730447248.06081,neutral,0.86
1730447248.06081,sad,0.36
1730447248.1427035,neutral,0.86
1730447248.1427035,sad,0.36
1730447248.220423,neutral,0.83
1730447248.220423,sad,0.56
1730447248.3098507,neutral,0.53
1730447248.3098507,neutral,0.41
1730447248.3881354,neutral,0.47
1730447248.3881354,sad,0.5
1730447248.4637818,neutral,0.64
1730447248.4637818,sad,0.52
1730447248.5552297,neutral,0.57
1730447248.5552297,sad,0.34
1730447248.6394904,neutral,0.57
1730447248.6394904,sad,0.34
1730447248.7303653,neutral,0.59
1730447248.7313652,sad,0.44
1730447248.8100123,neutral,0.66
1730447248.8100123,neutral,0.33
1730447248.8896794,neutral,0.7
1730447248.8896794,sad,0.4
1730447248.9820487,neutral,0.96
1730447248.9820487,sad,0.32
1730447249.0726454,neutral,0.9
1730447249.148004,neutral,0.9
1730447249.2264912,neutral,0.93
1730447249.3053522,neutral,0.9
1730447249.3053522,sad,0.37
1730447249.386892,neutral,0.86
1730447249.386892,sad,0.44
1730447249.4651396,neutral,0.86
1730447249.4651396,sad,0.44
1730447249.540988,neutral,0.92
1730447249.540988,sad,0.39
1730447249.615485,neutral,0.93
1730447249.615485,sad,0.44
1730447249.6925974,neutral,0.91
1730447249.6925974,sad,0.45
1730447249.771185,neutral,0.96
1730447249.771185,sad,0.42
1730447249.8505938,neutral,0.94
1730447249.8505938,sad,0.38
1730447249.9676182,neutral,0.92
1730447249.9676962,neutral,0.33
1730447250.04844,neutral,0.96
1730447250.04844,sad,0.34
1730447250.13581,neutral,0.96
1730447250.13581,sad,0.34
1730447250.2122562,neutral,0.93
1730447250.2122562,sad,0.39
1730447250.2886217,neutral,0.92
1730447250.2886217,sad,0.4
1730447250.369387,neutral,0.93
1730447250.369387,sad,0.34
1730447250.4467237,neutral,0.93
1730447250.4467237,sad,0.34
1730447250.5235243,neutral,0.96
1730447250.5235243,sad,0.34
1730447250.6117852,neutral,0.86
1730447250.6117852,sad,0.43
1730447250.7030563,neutral,0.86
1730447250.7030563,sad,0.43
1730447250.7896373,neutral,0.95
1730447250.7896373,sad,0.33
1730447250.879182,neutral,0.92
1730447250.879182,sad,0.32
1730447250.9557664,neutral,0.8
1730447250.9557664,sad,0.31
1730447251.0385695,neutral,0.86
1730447251.0385695,sad,0.29
1730447251.1183517,neutral,0.86
1730447251.1183517,sad,0.29
1730447251.2215078,neutral,0.82
1730447251.2215078,angry,0.37
1730447251.3026922,neutral,0.76
1730447251.3026922,angry,0.43
1730447251.3865013,neutral,0.7
1730447251.3865013,angry,0.43
1730447251.480323,neutral,0.7
1730447251.480323,angry,0.43
1730447251.567468,neutral,0.94
1730447251.6500428,neutral,0.54
1730447251.6500428,angry,0.4
1730447251.743732,sad,0.41
1730447251.743732,sad,0.35
1730447251.8333206,neutral,0.67
1730447251.8333206,sad,0.38
